"Cycle 0:#010:C1s Scan"
,Characteristic Energy eV,1.486680e+03,Acquisition Time s,5.000000e-01
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,,B.E.,CPS
1.188600e+03,1.376350e+03,,2.980800e+02,2.752700e+03
1.188700e+03,1.415990e+03,,2.979800e+02,2.831980e+03
1.188800e+03,1.374690e+03,,2.978800e+02,2.749380e+03
1.188900e+03,1.382640e+03,,2.977800e+02,2.765280e+03
1.189000e+03,1.409860e+03,,2.976800e+02,2.819720e+03
1.189100e+03,1.456890e+03,,2.975800e+02,2.913780e+03
1.189200e+03,1.393960e+03,,2.974800e+02,2.787920e+03
1.189300e+03,1.402880e+03,,2.973800e+02,2.805760e+03
1.189400e+03,1.399060e+03,,2.972800e+02,2.798120e+03
1.189500e+03,1.405620e+03,,2.971800e+02,2.811240e+03
1.189600e+03,1.444530e+03,,2.970800e+02,2.889060e+03
1.189700e+03,1.369350e+03,,2.969800e+02,2.738700e+03
1.189800e+03,1.356740e+03,,2.968800e+02,2.713480e+03
1.189900e+03,1.372650e+03,,2.967800e+02,2.745300e+03
1.190000e+03,1.353460e+03,,2.966800e+02,2.706920e+03
1.190100e+03,1.365840e+03,,2.965800e+02,2.731680e+03
1.190200e+03,1.361670e+03,,2.964800e+02,2.723340e+03
1.190300e+03,1.331140e+03,,2.963800e+02,2.662280e+03
1.190400e+03,1.280980e+03,,2.962800e+02,2.561960e+03
1.190500e+03,1.293140e+03,,2.961800e+02,2.586280e+03
1.190600e+03,1.339970e+03,,2.960800e+02,2.679940e+03
1.190700e+03,1.357940e+03,,2.959800e+02,2.715880e+03
1.190800e+03,1.295640e+03,,2.958800e+02,2.591280e+03
1.190900e+03,1.317710e+03,,2.957800e+02,2.635420e+03
1.191000e+03,1.361070e+03,,2.956800e+02,2.722140e+03
1.191100e+03,1.360910e+03,,2.955800e+02,2.721820e+03
1.191200e+03,1.345310e+03,,2.954800e+02,2.690620e+03
1.191300e+03,1.283310e+03,,2.953800e+02,2.566620e+03
1.191400e+03,1.378630e+03,,2.952800e+02,2.757260e+03
