"Cycle 0:#010:O1s Scan"
,Characteristic Energy eV,1.486680e+03,Acquisition Time s,5.000000e-01
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,,B.E.,CPS
9.416000e+02,3.917390e+03,,5.450800e+02,7.834780e+03
9.417000e+02,3.806480e+03,,5.449800e+02,7.612960e+03
9.418000e+02,3.672300e+03,,5.448800e+02,7.344600e+03
9.419000e+02,3.664410e+03,,5.447800e+02,7.328820e+03
9.420000e+02,3.675960e+03,,5.446800e+02,7.351920e+03
9.421000e+02,3.570780e+03,,5.445800e+02,7.141560e+03
9.422000e+02,3.535160e+03,,5.444800e+02,7.070320e+03
9.423000e+02,3.533440e+03,,5.443800e+02,7.066880e+03
9.424000e+02,3.428160e+03,,5.442800e+02,6.856320e+03
9.425000e+02,3.351780e+03,,5.441800e+02,6.703560e+03
9.426000e+02,3.383630e+03,,5.440800e+02,6.767260e+03
9.427000e+02,3.276490e+03,,5.439800e+02,6.552980e+03
9.428000e+02,3.207460e+03,,5.438800e+02,6.414920e+03
9.429000e+02,3.125350e+03,,5.437800e+02,6.250700e+03
9.430000e+02,3.070240e+03,,5.436800e+02,6.140480e+03
9.431000e+02,3.006520e+03,,5.435800e+02,6.013040e+03
9.432000e+02,2.990440e+03,,5.434800e+02,5.980880e+03
9.433000e+02,2.834890e+03,,5.433800e+02,5.669780e+03
9.434000e+02,2.881440e+03,,5.432800e+02,5.762880e+03
9.435000e+02,2.707650e+03,,5.431800e+02,5.415300e+03
9.436000e+02,2.699540e+03,,5.430800e+02,5.399080e+03
9.437000e+02,2.690430e+03,,5.429800e+02,5.380860e+03
9.438000e+02,2.546490e+03,,5.428800e+02,5.092980e+03
9.439000e+02,2.567810e+03,,5.427800e+02,5.135620e+03
9.440000e+02,2.553470e+03,,5.426800e+02,5.106940e+03
9.441000e+02,2.444580e+03,,5.425800e+02,4.889160e+03
9.442000e+02,2.383410e+03,,5.424800e+02,4.766820e+03
9.443000e+02,2.344460e+03,,5.423800e+02,4.688920e+03
9.444000e+02,2.257980e+03,,5.422800e+02,4.515960e+03
