"Cycle 0:#010:Si2p Scan"
,Characteristic Energy eV,1.486680e+03,Acquisition Time s,5.000000e-01
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,,B.E.,CPS
1.376600e+03,2.929360e+02,,1.100800e+02,5.858720e+02
1.376700e+03,3.064450e+02,,1.099800e+02,6.128900e+02
1.376800e+03,2.856640e+02,,1.098800e+02,5.713280e+02
1.376900e+03,3.039690e+02,,1.097800e+02,6.079380e+02
1.377000e+03,3.065200e+02,,1.096800e+02,6.130400e+02
1.377100e+03,3.096250e+02,,1.095800e+02,6.192500e+02
1.377200e+03,3.108990e+02,,1.094800e+02,6.217980e+02
1.377300e+03,3.194230e+02,,1.093800e+02,6.388460e+02
1.377400e+03,3.301260e+02,,1.092800e+02,6.602520e+02
1.377500e+03,3.544660e+02,,1.091800e+02,7.089320e+02
1.377600e+03,3.413860e+02,,1.090800e+02,6.827720e+02
1.377700e+03,3.218450e+02,,1.089800e+02,6.436900e+02
1.377800e+03,3.410300e+02,,1.088800e+02,6.820600e+02
1.377900e+03,3.613370e+02,,1.087800e+02,7.226740e+02
1.378000e+03,3.190770e+02,,1.086800e+02,6.381540e+02
1.378100e+03,3.810550e+02,,1.085800e+02,7.621100e+02
1.378200e+03,3.963780e+02,,1.084800e+02,7.927560e+02
1.378300e+03,4.438320e+02,,1.083800e+02,8.876640e+02
1.378400e+03,4.332340e+02,,1.082800e+02,8.664680e+02
1.378500e+03,4.497470e+02,,1.081800e+02,8.994940e+02
1.378600e+03,5.107760e+02,,1.080800e+02,1.021552e+03
1.378700e+03,5.305560e+02,,1.079800e+02,1.061112e+03
1.378800e+03,5.621440e+02,,1.078800e+02,1.124288e+03
1.378900e+03,6.026860e+02,,1.077800e+02,1.205372e+03
1.379000e+03,6.699760e+02,,1.076800e+02,1.339952e+03
1.379100e+03,7.242200e+02,,1.075800e+02,1.448440e+03
1.379200e+03,7.681250e+02,,1.074800e+02,1.536250e+03
1.379300e+03,8.043750e+02,,1.073800e+02,1.608750e+03
1.379400e+03,8.545900e+02,,1.072800e+02,1.709180e+03
