"Cycle 0:#010:XPS Survey"
,Characteristic Energy eV,1.486680e+03,Acquisition Time s,1.000000e-01
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,,B.E.,CPS
1.366000e+02,3.628150e+03,,1.350080e+03,3.628150e+04
1.376000e+02,3.629340e+03,,1.349080e+03,3.629340e+04
1.386000e+02,3.555520e+03,,1.348080e+03,3.555520e+04
1.396000e+02,3.594770e+03,,1.347080e+03,3.594770e+04
1.406000e+02,3.593360e+03,,1.346080e+03,3.593360e+04
1.416000e+02,3.622000e+03,,1.345080e+03,3.622000e+04
1.426000e+02,3.671130e+03,,1.344080e+03,3.671130e+04
1.436000e+02,3.602650e+03,,1.343080e+03,3.602650e+04
1.446000e+02,3.678900e+03,,1.342080e+03,3.678900e+04
1.456000e+02,3.720950e+03,,1.341080e+03,3.720950e+04
1.466000e+02,3.748480e+03,,1.340080e+03,3.748480e+04
1.476000e+02,3.717400e+03,,1.339080e+03,3.717400e+04
1.486000e+02,3.685080e+03,,1.338080e+03,3.685080e+04
1.496000e+02,3.642680e+03,,1.337080e+03,3.642680e+04
1.506000e+02,3.724520e+03,,1.336080e+03,3.724520e+04
1.516000e+02,3.669620e+03,,1.335080e+03,3.669620e+04
1.526000e+02,3.642020e+03,,1.334080e+03,3.642020e+04
1.536000e+02,3.644450e+03,,1.333080e+03,3.644450e+04
1.546000e+02,3.618220e+03,,1.332080e+03,3.618220e+04
1.556000e+02,3.639700e+03,,1.331080e+03,3.639700e+04
1.566000e+02,3.665170e+03,,1.330080e+03,3.665170e+04
1.576000e+02,3.606820e+03,,1.329080e+03,3.606820e+04
1.586000e+02,3.693160e+03,,1.328080e+03,3.693160e+04
1.596000e+02,3.814340e+03,,1.327080e+03,3.814340e+04
1.606000e+02,3.664900e+03,,1.326080e+03,3.664900e+04
1.616000e+02,3.662980e+03,,1.325080e+03,3.662980e+04
1.626000e+02,3.816190e+03,,1.324080e+03,3.816190e+04
1.636000e+02,3.690390e+03,,1.323080e+03,3.690390e+04
1.646000e+02,3.668430e+03,,1.322080e+03,3.668430e+04
